name,year,house,link
Ben Skinner,Jr.,Kirkland,http://www.gocrimson.com/sports/bsb/2017-18/bios/skinner_ben_bzbv
Buddy Mrowka,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/mrowka_buddy_bil3
Chad Minato,So.,Lowell,http://www.gocrimson.com/sports/bsb/2017-18/bios/minato_chad_5y9s
John Fallon,Sr.,Lowell,http://www.gocrimson.com/sports/bsb/2017-18/bios/fallon_john_jmfu
Matt Rothenberg,Sr.,Eliot,http://www.gocrimson.com/sports/bsb/2017-18/bios/rothenberg_matt_bjdg
Jake Allen,Jr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/allen_jake_guho
Chase Aldridge,Jr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/aldridge_chase_i9i6
Trent Bryan,Jr.,Matthews,http://www.gocrimson.com/sports/bsb/2017-18/bios/bryan_trent_ngg5
Matt Thomas,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/thomas_matt_ghl7
Austin Black,Sr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/black_austin_xzup
Jake Suddleson,So.,Lowell,http://www.gocrimson.com/sports/bsb/2017-18/bios/suddleson_jake_vpqn
Kieran Shaw,So.,Lowell,http://www.gocrimson.com/sports/bsb/2017-18/bios/shaw_kieran_3ygy
Simon Rosenblum-Larson,Jr.,Dunster,http://www.gocrimson.com/sports/bsb/2017-18/bios/rosenblum-larson_simon_waer
Rey Pascual,Jr.,Winthrop,http://www.gocrimson.com/sports/bsb/2017-18/bios/pascual_rey_vqt1
Tommy Seidl,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/seidl_tommy_vp5b
Edwin Owolo,Jr.,Dunster,http://www.gocrimson.com/sports/bsb/2017-18/bios/owolo_edwin_f7x5
Quinn Hoffman,So.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/hoffman_quinn_e8r7
Garrett Rupp,Sr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/rupp_garrett_z8pk
Kevin Stone,Jr.,Kirkland,http://www.gocrimson.com/sports/bsb/2017-18/bios/stone_kevin_6egg
Grant Stone,So.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/stone_grant_7e2a
JT Bernard,So.,Lowell,http://www.gocrimson.com/sports/bsb/2017-18/bios/bernard_jt_vtm4
Noah Zavolas,Sr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/zavolas_noah_0en7
Buddy Hayward,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/hayward_buddy_lva8
Hunter Bigge,So.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/bigge_hunter_f55e
Patrick McColl,Jr.,Kirkland,http://www.gocrimson.com/sports/bsb/2017-18/bios/mccoll_patrick_0r53
Jack Mahala,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/mahala_jack_w3tp
Devan Peterson,Jr.,Winthrop,http://www.gocrimson.com/sports/bsb/2017-18/bios/peterson_devan_v8j4
John MacLean,Jr.,Kirkland,http://www.gocrimson.com/sports/bsb/2017-18/bios/maclean_john_34p2
Nate Stephens,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/stephens_nate_ymdg
Enzo Stefanoni,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/stefanoni_enzo_a1k0
Patrick Robinson,Jr.,Mather,http://www.gocrimson.com/sports/bsb/2017-18/bios/robinson_patrick_mcg0
Jake Forte,Sr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/forte_jake_st9o
Jaren Zinn,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/zinn_jaren_6j0c
Chris McGrory,Fr.,,http://www.gocrimson.com/sports/bsb/2017-18/bios/mcgrory_chris_55hw
