name,year,house,link
Matt Branman,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/mfencing/2017-18/bios/branman_matthew_o28f
Erwin Cai,Sophomore,,http://www.gocrimson.com/sports/mfencing/2017-18/bios/cai_erwin_os6v
Albert Chien,Junior,Winthrop,http://www.gocrimson.com/sports/mfencing/2017-18/bios/chien_albert_nbbd
Milo Davidson,Junior,Adams,http://www.gocrimson.com/sports/mfencing/2017-18/bios/davidson_milo_imr7
Eli Dershwitz,Junior,Pforzheimer,http://www.gocrimson.com/sports/mfencing/2017-18/bios/dershwitz_eli_3xqo
Jonathan Gill,Junior,Quincy,http://www.gocrimson.com/sports/mfencing/2017-18/bios/gill_jonathan_oj3m
Philippe Guy,Sophomore,Cabot,http://www.gocrimson.com/sports/mfencing/2017-18/bios/guy_philippe_zzom
George Haglund,Sophomore,Cabot,http://www.gocrimson.com/sports/mfencing/2017-18/bios/haglund_george_xlhk
Charles Horowitz,Freshman,,http://www.gocrimson.com/sports/mfencing/2017-18/bios/Horowitz_Charles
Artidoro Pagnoni,Senior,Mather,http://www.gocrimson.com/sports/mfencing/2017-18/bios/pagnoni_artidoro_w04r
Duncan Rheingans-Yoo,Sophomore,Currier,http://www.gocrimson.com/sports/mfencing/2017-18/bios/rheingans-yoo_duncan_iaq3
Adrien Thein-Sandler,Freshman,,http://www.gocrimson.com/sports/mfencing/2017-18/bios/thein-sandler_adrian
Geoffrey Tourette,Freshman,,http://www.gocrimson.com/sports/mfencing/2017-18/bios/tourette_geoffrey
Edward Zhao,Freshman,,http://www.gocrimson.com/sports/mfencing/2017-18/bios/zhao_edward
Eric Zhao,Senior,Cabot,http://www.gocrimson.com/sports/mfencing/2017-18/bios/zhao_eric_ig2o
