name,year,house,link
Landon Plunkett,So,Quincy,http://www.gocrimson.com/sports/msoc/2017-18/bios/plunkett_landon_4o7a
Kyle Parks,Sr,Quincy,http://www.gocrimson.com/sports/msoc/2017-18/bios/parks_kyle_eu6b
Jorma Görns,So,,http://www.gocrimson.com/sports/msoc/2017-18/bios/gomes_jorma_34ov
Eric Gylling,Sr,Kirkland,http://www.gocrimson.com/sports/msoc/2017-18/bios/gylling_eric_y98c
Gavin Baker-Greene,So,,http://www.gocrimson.com/sports/msoc/2017-18/bios/baker-greene_gavin_4cx1
Nate Devine,Sr,Kirkland,http://www.gocrimson.com/sports/msoc/2017-18/bios/devine_nate_xuam
Joel Serugo,So,Quincy,http://www.gocrimson.com/sports/msoc/2017-18/bios/serugo_joel_zwm7
Philip Hausen,So,Pforzheimer,http://www.gocrimson.com/sports/msoc/2017-18/bios/hausen_philip_inoz
Christian Sady,Sr,Pforzheimer,http://www.gocrimson.com/sports/msoc/2017-18/bios/sady_christian_iku1
Taner Dogan,So,Quincy,http://www.gocrimson.com/sports/msoc/2017-18/bios/dogan_taner_q3jr
Asa Silverman,So,Lowell,http://www.gocrimson.com/sports/msoc/2017-18/bios/silverman_asa_pprc
Ibukun Omotowa,Sr,Pforzheimer,http://www.gocrimson.com/sports/msoc/2017-18/bios/omotowa_ibukun_eer7
Paolo Belloni-Urso,Fr,,http://www.gocrimson.com/sports/msoc/2017-18/bios/belloni-urso_paolo_091b
Nathan Goldberg,Sr,Dunster,http://www.gocrimson.com/sports/msoc/2017-18/bios/goldberg_nathan_d9fa
Justin Crichlow,Sr,Quincy,http://www.gocrimson.com/sports/msoc/2017-18/bios/crichlow_justin_l1lr
Cornelius Bencsik,Fr,,http://www.gocrimson.com/sports/msoc/2017-18/bios/benscik_cornelius_dh2k
Matthew Glass,So,,http://www.gocrimson.com/sports/msoc/2017-18/bios/glass_matthew_ffb0
Matt Hatter,Jr,Pforzheimer,http://www.gocrimson.com/sports/msoc/2017-18/bios/hatter_matt_9ewx
Sebastian Lindner-Liaw,Fr,,http://www.gocrimson.com/sports/msoc/2017-18/bios/lindner-liaw_sebastian_9jzn
Rory Conway,Fr,,http://www.gocrimson.com/sports/msoc/2017-18/bios/conway_rory_j9f1
Fernando Docters,Fr,,http://www.gocrimson.com/sports/msoc/2017-18/bios/docters_fernando_m87p
Cesar Farias,Jr,Mather,http://www.gocrimson.com/sports/msoc/2017-18/bios/farias_cesar_0jut
Jack Miler,Jr,Mather,http://www.gocrimson.com/sports/msoc/2017-18/bios/miler_jack_302d
Luis Viceira,So,Eliot,http://www.gocrimson.com/sports/msoc/2017-18/bios/viceira_luis_oslm
Eduardo Cedeno,Jr,Pforzheimer,http://www.gocrimson.com/sports/msoc/2017-18/bios/cedeno_eduardo_43p7
Matt Freese,Fr,,http://www.gocrimson.com/sports/msoc/2017-18/bios/freese_matthew_w9n2
