name,year,house,link
Saadeldin Abouaish,Sophomore,,http://www.gocrimson.com/sports/msquash/2017-18/bios/abouaish_saadeldin_s72a
Rana Bansal,Junior,,http://www.gocrimson.com/sports/msquash/2017-18/bios/bansal_rana_flwu
Timothy Brownell,Sophomore,,http://www.gocrimson.com/sports/msquash/2017-18/bios/brownell_timothy_r3p9
Jack Cooper,Junior,McKinlock,http://www.gocrimson.com/sports/msquash/2017-18/bios/cooper_jack_o2zi
Adam Corcoran,Freshman,,http://www.gocrimson.com/sports/msquash/2017-18/bios/corcoran_adam_9icj
Madhav Dhingra,Senior,Adams,http://www.gocrimson.com/sports/msquash/2017-18/bios/dhingra_madhav_tgt9
Seif Eleinen,Senior,Adams,http://www.gocrimson.com/sports/msquash/2017-18/bios/eleinen_seif_zzws
Alexi Gosset,Junior,McKinlock,http://www.gocrimson.com/sports/msquash/2017-18/bios/gosset_alexi_v37j
Julien Gosset,Freshman,,http://www.gocrimson.com/sports/msquash/2017-18/bios/gosset_julien_xcsx
Varoun Gulati,Junior,,http://www.gocrimson.com/sports/msquash/2017-18/bios/Gulati_Varoun
Sean Hughes,Sophomore,,http://www.gocrimson.com/sports/msquash/2017-18/bios/hughes_sean_ne0t
Theodore Mendez,Junior,Eliot,http://www.gocrimson.com/sports/msquash/2017-18/bios/mendez_theodore_rbsu
Stephen Monrad,Junior,,http://www.gocrimson.com/sports/msquash/2017-18/bios/Monrad_Stephen
John Finley Ong,Freshman,,http://www.gocrimson.com/sports/msquash/2017-18/bios/Ong_John_Finley
Mandela Patrick,Senior,Currier,http://www.gocrimson.com/sports/msquash/2017-18/bios/patrick_mandela_4d4s
David Ryan,Senior,Adams,http://www.gocrimson.com/sports/msquash/2017-18/bios/ryan_david_s0sc
Samuel Scherl,Freshman,,http://www.gocrimson.com/sports/msquash/2017-18/bios/scherl_samuel_ysn8
Ethan Shoihet,Junior,Leverett,http://www.gocrimson.com/sports/msquash/2017-18/bios/shoihet_ethan_6rfg
Bradley Smith,Senior,Adams,http://www.gocrimson.com/sports/msquash/2017-18/bios/smith_bradley_pif5
Liam Waterous,Freshman,,http://www.gocrimson.com/sports/msquash/2017-18/bios/Waterous_Liam
