name,year,house,link
Andrew Ball,Junior,,http://www.gocrimson.com/sports/mten/2017-18/bios/ball_andrew_2u7s
Samuel Beren,Junior,Kirkland,http://www.gocrimson.com/sports/mten/2017-18/bios/beren_samuel_kd96
Xavier Gonzalez,Senior,Winthrop,http://www.gocrimson.com/sports/mten/2017-18/bios/gonzalez_xavier_vjsb
Galen Lee,Sophomore,Cabot,http://www.gocrimson.com/sports/mten/2017-18/bios/lee_galen_v2mx
Christopher Morrow,Junior,Pforzheimer,http://www.gocrimson.com/sports/mten/2017-18/bios/morrow_christopher_cqz7
Michael Peters,Junior,Kirkland,http://www.gocrimson.com/sports/mten/2017-18/bios/peters_michael_9i7r
Grant Solomon,Senior,Lowell,http://www.gocrimson.com/sports/mten/2017-18/bios/solomon_grant_bpxk
Kenny Tao,Senior,Winthrop,http://www.gocrimson.com/sports/mten/2017-18/bios/tao_kenny_hyay
Jean Thirouin,Senior,Winthrop,http://www.gocrimson.com/sports/mten/2017-18/bios/thirouin_jean_09u7
Logan Weber,Sophomore,,http://www.gocrimson.com/sports/mten/2017-18/bios/weber_logan_nfet
Robert Wrzesinski,Freshman,,http://www.gocrimson.com/sports/mten/2017-18/bios/vrzesinski_robertas_7vmy
Andy Zhou,Junior,Dunster,http://www.gocrimson.com/sports/mten/2017-18/bios/zhou_andy_06yz
Constantin Zoske,Freshman,,http://www.gocrimson.com/sports/mten/2017-18/bios/zoske_constantin_xsqo
