name,year,house,link
Chase Howard,Sophomore,,http://www.gocrimson.com/sports/mvball/2017-18/bios/howard_chase_g3dk
Marko Kostich,Senior,Pforzheimer,http://www.gocrimson.com/sports/mvball/2017-18/bios/kostich_marko_xgv0
Brad Gretsch,Senior,Lowell,http://www.gocrimson.com/sports/mvball/2017-18/bios/gretsch_brad_1nk3
Adam Gordon,Freshman,,http://www.gocrimson.com/sports/mvball/2017-18/bios/gordon_adam_f8xa
Griffin Schmit,Freshman,,http://www.gocrimson.com/sports/mvball/2017-18/bios/schmit_griffin_qjq6
Trevor Dow,Junior,Mather,http://www.gocrimson.com/sports/mvball/2017-18/bios/dow_trevor_rdr2
Riley Moore,Senior,Lowell,http://www.gocrimson.com/sports/mvball/2017-18/bios/moore_riley_7ztq
Matthew Ctvrtlik,Sophomore,,http://www.gocrimson.com/sports/mvball/2017-18/bios/ctvrtlik_matthew_pot1
Erik Johnsson,Sophomore,,http://www.gocrimson.com/sports/mvball/2017-18/bios/johnsson_erik_2tsl
Jack Heavey,Senior,Eliot,http://www.gocrimson.com/sports/mvball/2017-18/bios/heavey_jack_y2u9
Spencer Scott,Junior,Cabot,http://www.gocrimson.com/sports/mvball/2017-18/bios/scott_spencer_3ai1
Kevin Zhao,Sophomore,,http://www.gocrimson.com/sports/mvball/2017-18/bios/Zhao_Kevin
Jack Connolly,Sophomore,Lowell,http://www.gocrimson.com/sports/mvball/2017-18/bios/connolly_jack_7r6f
Marty Heavey,Sophomore,Lowell,http://www.gocrimson.com/sports/mvball/2017-18/bios/heavey_marty_trr3
