name,year,house,link
Anthony Ridgley,Junior,Pforzheimer,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/ridgley_anthony_g2bu
Colin Chiapello,Senior,Eliot,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/chiapello_colin_m55x
Bennie Seybold,Sophomore,Dunster,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/seybold_bennie_tg1d
Austin Sechrest,Sophomore,Dunster,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/sechrest_austin_8mua
Grayson Judge,Junior,Winthrop,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/judge_grayson_ppfp
Nathan Ondracek,Junior,Currier,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/ondracek_nathan_gk6a
Nick Bunn,Junior,Currier,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/bunn_nick_ik0e
Jackson Enright,Freshman,,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/Enright_Jackson
Dennis Blyashov,Freshman,,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/Blyashov_Dennis
Grant Harvey,Junior,Currier,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/harvey_grant_4jns
Charlie Owens,Sophomore,,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/owens_charlie_ylt0
Nikhil Suri,Sophomore,Leverett,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/suri_nikhil_zkmk
Ben Wagner,Freshman,,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/Wagner_Ben
Bruno Snow,Freshman,,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/Snow_Bruno
Harry Tafur,Senior,Eliot,http://www.gocrimson.com/sports/mwaterpolo/2017-18/bios/tafur_harry_mg4z
