name,year,house,link
Aubree Muse,Fr,,http://www.gocrimson.com/sports/sball/2017-18/bios/muse_aubree_kch7
Lindey Kneib,So,,http://www.gocrimson.com/sports/sball/2017-18/bios/kneib_lindey_jejk
Alyssa Saldana,Fr,,http://www.gocrimson.com/sports/sball/2017-18/bios/saldana_alyssa_ujt1
Maddy Kaplan,Sr,Eliot,http://www.gocrimson.com/sports/sball/2017-18/bios/kaplan_maddy_xwta
Olivia Giaquinto,So,Adams,http://www.gocrimson.com/sports/sball/2017-18/bios/giaquinto_olivia_j5e1
Dallas Hogan,Sr,Eliot,http://www.gocrimson.com/sports/sball/2017-18/bios/hogan_dallas_myde
Nicki Nishizawa,Jr,Dunster,http://www.gocrimson.com/sports/sball/2017-18/bios/nishizawa_nicki_diro
Isabelle Haugh,So,,http://www.gocrimson.com/sports/sball/2017-18/bios/haugh_isabelle_qxjw
Meagan Lantz,Jr,Adams,http://www.gocrimson.com/sports/sball/2017-18/bios/lantz_meagan_ps2k
Melissa Lacro,Sr,Dunster,http://www.gocrimson.com/sports/sball/2017-18/bios/lacro_melissa_7yzb
Kathleen Duncan,Jr,Quincy,http://www.gocrimson.com/sports/sball/2017-18/bios/duncan_kathleen_dty9
Elizabeth Shively,Jr,Mather,http://www.gocrimson.com/sports/sball/2017-18/bios/shively_elizabeth_hij4
Alexa Altchek,Sr,Quincy,http://www.gocrimson.com/sports/sball/2017-18/bios/altchek_alexa_4csv
Erin Lockhart,Jr,Mather,http://www.gocrimson.com/sports/sball/2017-18/bios/lockhart_erin_yrd3
Alissa Hiener,So,,http://www.gocrimson.com/sports/sball/2017-18/bios/hiener_alissa_tu1f
Rhianna Rich,Jr,Mather,http://www.gocrimson.com/sports/sball/2017-18/bios/rich_rhianna_9pcg
Sarah Smith,Jr,Quincy,http://www.gocrimson.com/sports/sball/2017-18/bios/smith_sarah_c7ic
Kaitlyn Schiffhauer,Jr,Adams,http://www.gocrimson.com/sports/sball/2017-18/bios/schiffhauer_kaitlyn_76nr
Morgan Macchiarulo,Sr,,http://www.gocrimson.com/sports/sball/2017-18/bios/macchiarulo_morgan_7pmp
Chanel Varney,So,Pforzheimer,http://www.gocrimson.com/sports/sball/2017-18/bios/varney_chanel_f5tf
Morgan Melito,Fr,,http://www.gocrimson.com/sports/sball/2017-18/bios/melito_morgan_03wh
