name,year,house,link
Rodney Agyare-May,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/Agyare-May_Rodney
Michael Alber,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/alber_michael
Gunnar Allison,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/allison_gunnar_hulb
Jonas Aranda,Senior,Quincy,http://www.gocrimson.com/sports/track/2017-18/bios/aranda_jonas_k45f
Will Battershill,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/battershill_will_jcqa
Andrew Bolze,Junior,,http://www.gocrimson.com/sports/track/2017-18/bios/bolze_andrew_bffx
Taylor Brunskole,Junior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/brunskole_taylor_caxh
Louis Colson,Senior,Quincy,http://www.gocrimson.com/sports/track/2017-18/bios/colson_louis_khjh
Andrew Connolly,Senior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/connolly_andrew_z7fv
LJ Daniel,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/daniel_LJ
Charlie Davis,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/davis_charlie_wp0o
Anthony DeNitto,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/denitto_anthony_yifz
Wesley Donnhauser,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/donnhauser_wesley
Erick Duffy,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/duffy_erick
Blake Evertsen,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/eversten_blake
John Fish,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/fish_john
Josh Glauser,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/glauser_josh
Liam Hackett,Junior,Cabot,http://www.gocrimson.com/sports/track/2017-18/bios/hackett_liam_fq46
Jay Hebert,Senior,Pforzheimer,http://www.gocrimson.com/sports/track/2017-18/bios/hebert_jay_twfn
Robert Hope,Junior,Dunster,http://www.gocrimson.com/sports/track/2017-18/bios/hope_robert_xs4l
Ben Huffman,Senior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/huffman_ben_9vjm
Matt Hurst,Senior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/hurst_matt_5pvv
Jason Judge,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/judge_jason
Mike Kolor,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/kolor_mike_uhdl
Kaeo Kruse,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/kruse_kaeo_stc1
Charles Lego,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/lego_charles
Nicholas Linder,Junior,Dunster,http://www.gocrimson.com/sports/track/2017-18/bios/linder_nicholas_vhrp
Joe Luongo,Junior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/luongo_joe_8jah
Donagh Mahon,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/mahon_donagh_yx4e
Zachary Manickas-Hill,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/manickas-hill_zachary_yr6d
Myles Marshall,Junior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/marshall_myles_e600
Nicky Maxwell,Junior,Quincy,http://www.gocrimson.com/sports/track/2017-18/bios/maxwell_nicky_n7kp
Daniel McCutchen,Freshman,,http://www.gocrimson.com/sports/xc/2017-18/bios/McCutchen_Daniel
Jacob McLennan,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/mclennan_jacob_u6bs
Matt Miller,Senior,Lowell,http://www.gocrimson.com/sports/track/2017-18/bios/miller_matt_ovbh
Zack Miller,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/miller_zach
Hugo Milner,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/milner_hugo
Gabe Montague,Senior,Quincy,http://www.gocrimson.com/sports/track/2017-18/bios/montague_gabe_f1jv
Alexander Moore,Senior,Lowell,http://www.gocrimson.com/sports/track/2017-18/bios/moore_alexander_0cwv
Murimi Nyamu,Sophomore,,http://www.gocrimson.com/sports/track/2017-18/bios/nyamu_murimi_9oxa
Samuel Oh,Junior,Pforzheimer,http://www.gocrimson.com/sports/track/2017-18/bios/oh_samuel_fhvb
Matthew Pereira,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/pereira_matthew
Collin Price,Junior,Eliot,http://www.gocrimson.com/sports/track/2017-18/bios/price_collin_zub3
Randy Raymond,Senior,Lowell,http://www.gocrimson.com/sports/track/2017-18/bios/raymond_randy_g9il
Garrett Rouser,Junior,Quincy,http://www.gocrimson.com/sports/track/2017-18/bios/rouser_garrett_o7qm
Connor Schoen,Freshman,,http://www.gocrimson.com/sports/xc/2017-18/bios/Schoen_Connor
Tyler Spear,Senior,Kirkland,http://www.gocrimson.com/sports/track/2017-18/bios/spear_tyler_mgb5
Ryan Thrush,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/thrush_ryan
Kieran Tuntivate,Junior,Dunster,http://www.gocrimson.com/sports/track/2017-18/bios/tuntivate_kieran_8vya
Mitch Valko,Junior,Dunster,http://www.gocrimson.com/sports/track/2017-18/bios/valko_mitch_mdrt
