name,year,house,link
Claire Albert,Freshman,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Albert_Claire
Alanah Anderson,Senior,Cabot,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/anderson_alanah_9772
Julia Baumel,Senior,Mather,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/baumel_julia_2anj
Ellie Bernstein,Sophomore,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Bernstein_Ellie
Ada Bielawski,Senior,Mather,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/bielawski_ada_gtzo
Maria Boyle,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/boyle_maria_t9n1
Tessa Buchan,Junior,Ridgley,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/buchan_tessa_eckn
Claire Burch,Sophomore,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Burch_Claire
Gina Cusing,Sophomore,Eliot,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/cusing_gina_aofi
Julia Davis,Junior,Winthrop,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/davis_julia_smkq
Gretchen Dougherty,Senior,Quincy,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/dougherty_gretchen_alf7
Jacqueline Epstein,Senior,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/epstein_jacqueline_x8eo
Olivia Farrar,Freshman,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Farrar_Olivia
Fiona Fitzgerald,Junior,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/fitzgerald_fiona_vcvs
Julia Henry,Sophomore,Eliot,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/henry_julia_vu2b
Elizabeth Kaye,Freshman,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Kaye_Elizabeth
Brigid Kennedy,Freshman,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Kennedy_Brigid
Abigail Koerner,Freshman,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Koerner_Abigail
Electra Lang,Senior,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/lang_electra_a7a7
Molly Lesser,Sophomore,Mather,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/lesser_molly_j2ji
Emily Moya,Junior,Lowell,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Moya_Emily
Allison Oliva,Senior,Quincy,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Olivia_Allison
McKenzie Parks,Junior,Adams,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/parks_mckenzie_qgul
Juliet Pesner,Sophomore,Quincy,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/Pesner_Juliet
Marissa Saenger,Junior,Currier,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/saenger_marissa_uhz3
Mykayla Sandler,Senior,Quincy,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/sandler_mykayla_lp7t
Samantha Shao,Sophomore,,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/shao_samantha_sf46
Genevieve Shaw,Senior,Winthrop,http://www.gocrimson.com/sports/wcrew-lw/2017-18/bios/shaw_genevieve_3hcy
