name,year,house,link
Julia Carstens,Junior,Eliot,http://www.gocrimson.com/sports/wfencing/2017-18/bios/carstens_julia_pf2m
Claire Dinhut,Senior,Kirkland,http://www.gocrimson.com/sports/wfencing/2017-18/bios/dinhut_claire_npie
Cindy Gao,Freshman,,http://www.gocrimson.com/sports/wfencing/2017-18/bios/Gao_Cindy
Liana Henderson-Semel,Junior,Eliot,http://www.gocrimson.com/sports/wfencing/2017-18/bios/henderson-semel_liana_apgp
Saanchi Kukadia,Freshman,,http://www.gocrimson.com/sports/wfencing/2017-18/bios/Kukadio_Saanchi
Marta Lasota,Sophomore,,http://www.gocrimson.com/sports/wfencing/2017-18/bios/lasota_marta_ioc1
MacKenzie Lawrence,Senior,Mather,http://www.gocrimson.com/sports/wfencing/2017-18/bios/lawrence_mackenzie_n5v4
Sharon Ra,Junior,Eliot,http://www.gocrimson.com/sports/wfencing/2017-18/bios/ra_sharon_h6h6
Gabrielle Tartakovsky,Junior,Winthrop,http://www.gocrimson.com/sports/wfencing/2017-18/bios/tartakovsky_gabby_x6dg
Shawn Wallace,Junior,Quincy,http://www.gocrimson.com/sports/wfencing/2017-18/bios/wallace_shawn_w54k
Natalie Yang,Sophomore,Adams,http://www.gocrimson.com/sports/wfencing/2017-18/bios/yang_natalie_gh71
Hellary Zhang,Senior,Currier,http://www.gocrimson.com/sports/wfencing/2017-18/bios/zhang_hellary_4dby
