name,year,house,link
Nikki Friesen,Senior,Quincy,http://www.gocrimson.com/sports/wice/2017-18/bios/friesen_nikki_prdv
Lunasa Sano,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/sano_runasa_pkxa
Kate Glover,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/glover_kate_uf1z
Bradley Fusco,Junior,Leverett,http://www.gocrimson.com/sports/wice/2017-18/bios/fusco_bradley_9zzw
Dani Krzyszczyk,Senior,Leverett,http://www.gocrimson.com/sports/wice/2017-18/bios/krzyszczyk_dani_lne3
Audrey Warner,Junior,Kirkland,http://www.gocrimson.com/sports/wice/2017-18/bios/warner_audrey_z8v5
Ali Peper,Sophomore,,http://www.gocrimson.com/sports/wice/2017-18/bios/peper_ali_cp06
Kate Hallett,Junior,Leverett,http://www.gocrimson.com/sports/wice/2017-18/bios/hallett_kate_imzm
Becca Gilmore,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/gilmore_becca_b78x
Brooke Jovanovich,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/jovanovich_brooke_2u1o
Sydney Sorkin,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/sorkin_sydney_he15
Kat Hughes,Sophomore,,http://www.gocrimson.com/sports/wice/2017-18/bios/hughes_kat_yeps
Keely Moy,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/moy_keely_aqvl
Kaitlin Tse,Junior,Leverett,http://www.gocrimson.com/sports/wice/2017-18/bios/tse_kaitlin_anqn
Val Turgeon,Sophomore,,http://www.gocrimson.com/sports/wice/2017-18/bios/turgeon_val_dvuz
Chelsea Ziadie,Senior,Adams,http://www.gocrimson.com/sports/wice/2017-18/bios/ziadie_chelsea_oxlf
Emma Buckles,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/buckles_emma_sder
Haley Mullins,Senior,Quincy,http://www.gocrimson.com/sports/wice/2017-18/bios/mullins_haley_0q3v
Karly Heffernan,Junior,,http://www.gocrimson.com/sports/wice/2017-18/bios/heffernan_karly_ob1i
Beth Larcom,Sophomore,Mather,http://www.gocrimson.com/sports/wice/2017-18/bios/larcom_beth_dik8
Emily Yue,Sophomore,Winthrop,http://www.gocrimson.com/sports/wice/2017-18/bios/yue_emily_koks
Becky Dutton,Freshman,,http://www.gocrimson.com/sports/wice/2017-18/bios/dutton_becky_cye0
