name,year,house,link
L.J. Barlow,Junior,Mather,http://www.gocrimson.com/sports/wrest/2017-18/bios/barlow_l.j._1sap
Cole Bateman,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/bateman_cole_i0pj
Peter Bearse,Junior,Lowell,http://www.gocrimson.com/sports/wrest/2017-18/bios/bearse_peter_tmf6
Kyle Bierdumpfel,Sophomore,,http://www.gocrimson.com/sports/wrest/2017-18/bios/bierdumpfel_kyle_d3zc
Evan Callahan,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/callahan_evan_ycxh
Angus Cowell,Senior,Adams,http://www.gocrimson.com/sports/wrest/2017-18/bios/cowell_angus_4md4
Kanon Dean,Senior,Adams,http://www.gocrimson.com/sports/wrest/2017-18/bios/dean_kanon_vzfj
Donovan Doyle,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/wrest/2017-18/bios/doyle_donovan_mnll
Ryan Friedman,Junior,Mather,http://www.gocrimson.com/sports/wrest/2017-18/bios/friedman_ryan_txta
Austin Gobbo,Senior,Adams,http://www.gocrimson.com/sports/wrest/2017-18/bios/gobbo_austin_hfsd
Samuel Goldman,Junior,Lowell,http://www.gocrimson.com/sports/wrest/2017-18/bios/goldman_samuel_12d8
Nolan Hellickson,Junior,Dunster,http://www.gocrimson.com/sports/wrest/2017-18/bios/hellickson_nolan_spyw
A.J. Jaffe,Sophomore,,http://www.gocrimson.com/sports/wrest/2017-18/bios/jaffe_a.j._lqdx
Josef Johnson,Senior,Adams,http://www.gocrimson.com/sports/wrest/2017-18/bios/johnson_josef_n7k7
Spencer Kiehm,Senior,Dunster,http://www.gocrimson.com/sports/wrest/2017-18/bios/kiehm_spencer_5gdo
Logan Kirby,Senior,Adams,http://www.gocrimson.com/sports/wrest/2017-18/bios/kirby_logan_ewx4
Aaron Kruk,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/wrest/2017-18/bios/kruk_aaron_pp37
Hunter Ladnier,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/wrest/2017-18/bios/ladnier_hunter_daz3
Richard Martinez,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/martinez_richard_wbah
Matthew Rodriguez,Junior,Mather,http://www.gocrimson.com/sports/wrest/2017-18/bios/rodriguez_matthew_ku6i
Connor Sakmar,Sophomore,,http://www.gocrimson.com/sports/wrest/2017-18/bios/sakmar_connor_qppl
Rico Stormer,Senior,Dunster,http://www.gocrimson.com/sports/wrest/2017-18/bios/stormer_rico_iyf6
Lukus Stricker,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/stricker_lukus_w05p
Trevor Tarsi,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/tarsi_trevor_hfo1
Tyler Tarsi,Senior,Adams,http://www.gocrimson.com/sports/wrest/2017-18/bios/tarsi_tyler_ew6r
Cliffton Wang,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/wang_cliffton_9l2x
Brock Wilson,Freshman,,http://www.gocrimson.com/sports/wrest/2017-18/bios/wilson_brock_tdp4
