name,year,house,link
Camille Bean,Sophomore,Mather,http://www.gocrimson.com/sports/wrugby/2017-18/bios/bean_camille_5s39
Robyn Beese,Sophomore,Kirkland,http://www.gocrimson.com/sports/wrugby/2017-18/bios/beese_robyn_9b3w
Dominique Cantave,Sophomore,Eliot,http://www.gocrimson.com/sports/wrugby/2017-18/bios/cantave_dominique_b6d4
Grace Chao,Junior,Mather,http://www.gocrimson.com/sports/wrugby/2017-18/bios/chao_grace_udpp
Susie Clements,Junior,Dunster,http://www.gocrimson.com/sports/wrugby/2017-18/bios/clements_susie_0xub
Brooklynn Davis,Sophomore,Lowell,http://www.gocrimson.com/sports/wrugby/2017-18/bios/davis_brooklynn_fm51
Hannah Eckstein,Freshman,Forward/Prop,http://www.gocrimson.com/sports/wrugby/2017-18/bios/eckstein_hannah_5kb9
Bridget Grimm,Sophomore,Kirkland,http://www.gocrimson.com/sports/wrugby/2017-18/bios/grimm_bridget_n3af
Rachel Harkavy,Junior,Dunster,http://www.gocrimson.com/sports/wrugby/2017-18/bios/harkavy_rachel_ilfi
Delia Hellander,Sophomore,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/hellander_delia_6rfw
Justina Hewitt,Sophomore,Adams,http://www.gocrimson.com/sports/wrugby/2017-18/bios/hewitt_justina_95gz
Erica Jarrell,Freshman,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/jarrell_erica_s3n0
Sabrina Kim,Freshman,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/kim_sabrina_5edc
Jenny Kronish,Junior,Kirkland,http://www.gocrimson.com/sports/wrugby/2017-18/bios/kronish_jenny_m94e
Haley Langan,Senior,Quincy,http://www.gocrimson.com/sports/wrugby/2017-18/bios/langan_haley_3beu
Maya Learned,Senior,Eliot,http://www.gocrimson.com/sports/wrugby/2017-18/bios/learned_maya_220e
Sarah Lipson,Junior,Adams,http://www.gocrimson.com/sports/wrugby/2017-18/bios/lipson_sarah_ozqy
Theresa Manivanh,Junior,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/manivanh_theresa_sb5q
Virginia Miller,Junior,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/miller_virginia_c72y
Akweley Okine,Junior,Pforzheimer,http://www.gocrimson.com/sports/wrugby/2017-18/bios/okine_akweley_v3go
Emily Prentice,Sophomore,Kirkland,http://www.gocrimson.com/sports/wrugby/2017-18/bios/prentice_emily_6rr3
Genevieve Quirion,Junior,Dunster,http://www.gocrimson.com/sports/wrugby/2017-18/bios/quirion_genevieve_3osm
Milan Roberts,Freshman,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/roberts_milan_bnik
Heide Rogers,Freshman,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/rogers_heide_8j41
Arianna Romero,Freshman,Wing,http://www.gocrimson.com/sports/wrugby/2017-18/bios/romero_arianna_pigw
Rachel Slater,Freshman,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/slater_rachel_hmqy
Becky Soilson,Sophomore,Qiuncy,http://www.gocrimson.com/sports/wrugby/2017-18/bios/soilson_becky_c9zb
Ana Suazo,Sophomore,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/suazo_ana_yfg5
Victoria Tong,Sophomore,Adams,http://www.gocrimson.com/sports/wrugby/2017-18/bios/tong_victoria_eerk
Nina Uoigwe,Freshman,Flanker,http://www.gocrimson.com/sports/wrugby/2017-18/bios/uoigwe_nina_sof4
Caitlin Weigel,Junior,Mather,http://www.gocrimson.com/sports/wrugby/2017-18/bios/weigel_caitlin_6mgl
Erin Wright,Freshman,,http://www.gocrimson.com/sports/wrugby/2017-18/bios/wright_erin_5jfr
Dalton Youngblood,Senior,Mather,http://www.gocrimson.com/sports/wrugby/2017-18/bios/youngblood_dalton_1zpz
