name,year,house,link
Maddie Chai,Freshman,,http://www.gocrimson.com/sports/wsquash/2017-18/bios/Maddie_Chai
Olivia Chapman,Freshman,,http://www.gocrimson.com/sports/wsquash/2017-18/bios/chapman_olivia_zxtf
Hannah Craig,Freshman,,http://www.gocrimson.com/sports/wsquash/2017-18/bios/craig_hannah_6c10
Annika Engstrom,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/wsquash/2017-18/bios/engstrom_annika_qbpi
Eleonore Evans,Sophomore,Adams,http://www.gocrimson.com/sports/wsquash/2017-18/bios/evans_eleonore_y4yx
Amelia Henley,Sophomore,Adams,http://www.gocrimson.com/sports/wsquash/2017-18/bios/henley_amelia_ipau
Gina Kennedy,Sophomore,,http://www.gocrimson.com/sports/wsquash/2017-18/bios/kennedy_gina_g4vg
Kayley Leonard,Junior,Winthrop,http://www.gocrimson.com/sports/wsquash/2017-18/bios/leonard_kayley_m3gs
Alyssa Mehta,Senior,Adams,http://www.gocrimson.com/sports/wsquash/2017-18/bios/mehta_alyssa_5v16
Sophie Mehta,Junior,Kirkland,http://www.gocrimson.com/sports/wsquash/2017-18/bios/mehta_sophie_c464
Sabrina Sobhy,Junior,Kirkland,http://www.gocrimson.com/sports/wsquash/2017-18/bios/sobhy_sabrina_2f21
Sue Ann Yong,Senior,Eliot,http://www.gocrimson.com/sports/wsquash/2017-18/bios/yong_sue_ann_ss7m
