name,year,house,link
Cleo Harrington,Senior,Lowell,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/harrington_cleo_59ls
Lana Gorlinski,Sophomore,Kirkland,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/gorlinski_lana_u4qa
Julie Harrison,Sophomore,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/harrison_julie_v7e6
Jilly Cronin,Freshman,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/Cronin_Jilly
Haley Bowe,Junior,Currier,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/bowe_haley_c3o8
Sam Acker,Junior,Mather,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/acker_sam_7smw
Sofia Carrera-Justiz,Sophomore,Mather,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/carrera-justiz_sofia_b3p1
Angie Varona,Sophomore,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/varona_angie_hgch
Mathilde Ribordy,Sophomore,Kirkland,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/ribordy_mathilde_7zfs
Quinne Pursell,Freshman,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/Pursell_Quinne
Sami Strutner,Senior,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/strutner_sami_2al0
Olivia Price,Freshman,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/Price_Olivia
Kristen Hong,Junior,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/hong_kristen_suso
Remedy Ryan,Freshman,,http://www.gocrimson.com/sports/wwaterpolo/2017-18/bios/Ryan_Remedy
