name,year,house,link
Tim Haehl,Sr,Quincy,http://www.gocrimson.com/sports/fball/2017-18/bios/haehl_tim_lkyf
Lavance Northington,So,Adams,http://www.gocrimson.com/sports/fball/2017-18/bios/northington_lavance_wv7k
Tyler Gray,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/gray_tyler_tvjo
Max Jones,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/jones_max_9bnv
Joe Viviano,Sr,Adams,http://www.gocrimson.com/sports/fball/2017-18/bios/viviano_joe_p38r
BJ Watson,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/watson_bj
Alex LaPolice,Jr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/lapolice_alex_epm6
Owen Holt,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/holt_owen_wep0
Raishaun McGhee,Sr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/mcghee_raishaun_xilz
Bennett Bay,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/bay_ben_zqqw
Cody Chrest,So,Adams,http://www.gocrimson.com/sports/fball/2017-18/bios/chrest_cody_iiq7
Wesley Ogsbury,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/ogsbury_wesley_g5gp
Jake Smith,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/smith_jake_q5qs
Brian Dunlap,Jr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/dunlap_brian_hrt6
Isaiah Wingfield,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/wingfield_edward_0bd6
Adam Scott,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/scott_adam_u9sw
Kenny Smart,Sr,Winthrop,http://www.gocrimson.com/sports/fball/2017-18/bios/smart_kenny_j8tt
Tom Stewart,Jr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/stewart_tom_v5rw
Cade Knox,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/knox_cade_yr4h
Camden Bohn,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/bohn_camden_dlb5
Justice Shelton-Mosley,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/shelton-mosley_justice_jl6k
James Batch,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/batch_james_e7b3
Tyler Adams,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/adams_tyler_4b3d
Aaron Shampklin,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/shampklzen_aaron_qnnu
Charlie Booker III,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/booker_charlie_gpdo
Jason Brown,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/brown_jason_7q9m
Devin Judd,So,Quincy,http://www.gocrimson.com/sports/fball/2017-18/bios/judd_devin_omjd
Christian Houston,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/houston_christian_8eop
Noah Reimers,Jr,Eliot,http://www.gocrimson.com/sports/fball/2017-18/bios/reimers_noah_n914
Mike Silva,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/silva_mike_h3a2
Tobe Ezeokoli,Sr,Winthrop,http://www.gocrimson.com/sports/fball/2017-18/bios/ezeokoli_tobe_u6vg
Cole Thompson,Jr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/thompson_cole_q6eo
Henry Taylor,Jr,Quincy,http://www.gocrimson.com/sports/fball/2017-18/bios/taylor_henry_ukj9
Garrett Rigby,So,Adams,http://www.gocrimson.com/sports/fball/2017-18/bios/rigby_garrett_zx04
Zach Miller,Sr,Winthrop,http://www.gocrimson.com/sports/fball/2017-18/bios/miller_zach_5bpp
Max Mangum,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/mangum_max_c1vv
Ben Abercrombie,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/abercrombie_benson_vydm
Semar Smith,Sr,Winthrop,http://www.gocrimson.com/sports/fball/2017-18/bios/smith_semar_f0ik
Mikah Hughes,So,Adams,http://www.gocrimson.com/sports/fball/2017-18/bios/hughes_mikah_doz4
Luke Hutton,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/hutton_luke_vxo6
Devin Darrington,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/darrington_devin_uoe4
Tanner Lee,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/lee_tanner_0fa0
Tyler Spitzer,Jr,Mather,http://www.gocrimson.com/sports/fball/2017-18/bios/spitzer_tyler_8dnm
Alex White,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/white_alex_8s23
Matt Farber,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/farber_matt_oqol
Anthony Camargo,Jr,Dunster,http://www.gocrimson.com/sports/fball/2017-18/bios/camargo_anthony_m34l
Charlie Walker,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/walker_charlie_enyy
Andrew Irwin,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/irwin_andrew_45th
Ryan Antonellis,Sr,Dunster,http://www.gocrimson.com/sports/fball/2017-18/bios/antonellis_ryan_aufb
Chase Guillory,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/guillory_chase_2avz
John Jenkins,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/jenkins_john_qbtz
Jake McIntyre,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/mcintyre_jake_tn60
Hunter Wegner,So,,http://www.gocrimson.com/sports/fball/2017-18/bios/wegner_hunter_cy0n
Bobby Drysdale,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/drysdale_bobby_c4g7
Richie Ryan,Jr,Eliot,http://www.gocrimson.com/sports/fball/2017-18/bios/ryan_richie_4phk
Justin Hunter,Jr,Winthrop,http://www.gocrimson.com/sports/fball/2017-18/bios/hunter_justin_a4a1
Cameron Kline,So,,http://www.gocrimson.com/sports/fball/2017-18/bios/kline_cameron_skj9
Tim O'Brien,Jr,Lowell,http://www.gocrimson.com/sports/fball/2017-18/bios/o-brien_tim_cxsm
Jack McGowan,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/mcgowan_jack_44gj
Josh Hall,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/hall_josh_vlmf
Stuart Johnson,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/johnson_stuart_d1sf
Peter Graves,Jr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/graves_peter_wr5e
Ben Shoults,Jr,Eliot,http://www.gocrimson.com/sports/fball/2017-18/bios/shoults_ben_87r6
Joey Goodman,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/goodman_joey_gns2
Nate Chaffee,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/chaffee_nate_hi7b
Liam Shanahan,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/shanahan_liam_0p2t
J.J. Drew,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/drew_j.j._xoad
