name,year,house,link
Olivia Startup,Senior,Adams,http://www.gocrimson.com/sports/fh/2017-18/bios/startup_olivia_fbkm
Maddie Earle,Sophomore,Quincy,http://www.gocrimson.com/sports/fh/2017-18/bios/earle_maddie_qacj
Hannah Pearce,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/Pearce_Hannah
Kolbe Keating,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/Keating_Kolbe
Victoria Boylett,Junior,Kirkland,http://www.gocrimson.com/sports/fh/2017-18/bios/boylett_victoria_cub7
Natalie Sicher,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/Sicher_Natalie
Casey Allen,Sophomore,,http://www.gocrimson.com/sports/fh/2017-18/bios/allen_casey_o8gi
Hannah Wellington,Senior,Eliot,http://www.gocrimson.com/sports/fh/2017-18/bios/wellington_hannah_vok8
Olivia Allin,Junior,,http://www.gocrimson.com/sports/fh/2017-18/bios/allin_olivia_72bu
Bente van Vlijmen,Sophomore,Quincy,http://www.gocrimson.com/sports/fh/2017-18/bios/van_vlijmen_bente_cdee
Mimi Tarrant,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/Tarrant_Mimi
Grace Geiger,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/fh/2017-18/bios/geiger_grace_w71m
Sage Nye,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/Nye_Sage
Ellie Cookson,Senior,Eliot,http://www.gocrimson.com/sports/fh/2017-18/bios/cookson_ellie_aa3c
Emily Ott,Senior,Eliot,http://www.gocrimson.com/sports/fh/2017-18/bios/ott_emily_aypb
Kathleen Young,Junior,Winthrop,http://www.gocrimson.com/sports/fh/2017-18/bios/young_kathleen_nfep
Olivia Ostrover,Sophomore,Leverett,http://www.gocrimson.com/sports/fh/2017-18/bios/ostrover_olivia_m7uu
Emily Duarte,Junior,Leverett,http://www.gocrimson.com/sports/fh/2017-18/bios/duarte_emily_n2y5
Tessel Huibregtsen,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/Huibregtsen_Tessel
Amy Brooke,Freshman,,http://www.gocrimson.com/sports/fh/2017-18/bios/brooke_amy_8am7
Callie Rennyson,Sophomore,,http://www.gocrimson.com/sports/fh/2017-18/bios/rennyson_callie_l8wh
Brianna Bolon,Junior,,http://www.gocrimson.com/sports/fh/2017-18/bios/bolon_brianna_o6cj
Libby Manela,Junior,Kirkland,http://www.gocrimson.com/sports/fh/2017-18/bios/manela_libby_g3gf
