name,year,house,link
Chris Lewis,So,Eliot,http://www.gocrimson.com/sports/mbkb/2017-18/bios/lewis_chris_cmnl
James McLean,Jr,Currier,http://www.gocrimson.com/sports/mbkb/2017-18/bios/mclean_james_2c89
Tommy McCarthy,Jr,Mather,http://www.gocrimson.com/sports/mbkb/2017-18/bios/mccarthy_tommy_ifkr
Rio Haskett,Fr,,http://www.gocrimson.com/sports/mbkb/2017-18/bios/haskett_rio_odfl
Bryce Aiken,So,Winthrop,http://www.gocrimson.com/sports/mbkb/2017-18/bios/aiken_bryce_bzr6
Andre Chatfield,Sr,Kirkland,http://www.gocrimson.com/sports/mbkb/2017-18/bios/chatfield_andre_z8as
Balsa Dragovic,Jr,Quincy,http://www.gocrimson.com/sports/mbkb/2017-18/bios/dragovic_balsa_7daj
Justin Bassey,So,,http://www.gocrimson.com/sports/mbkb/2017-18/bios/bassey_justin_r98m
Zach Yoshor,Sr,Lowell,http://www.gocrimson.com/sports/mbkb/2017-18/bios/yoshor_zach_p6u2
Christian Juzang,So,Lowell,http://www.gocrimson.com/sports/mbkb/2017-18/bios/juzang_christian_2he3
Weisner Perez,Jr,Quincy,http://www.gocrimson.com/sports/mbkb/2017-18/bios/perez_weisner_vlv5
Chris Egi,Sr,Kirkland,http://www.gocrimson.com/sports/mbkb/2017-18/bios/egi_chris_71sy
Corey Johnson,Jr,Mather,http://www.gocrimson.com/sports/mbkb/2017-18/bios/johnson_corey_4jba
Danilo Djuricic,Fr,,http://www.gocrimson.com/sports/mbkb/2017-18/bios/djurucic_danilo_708a
Seth Towns,So,Winthrop,http://www.gocrimson.com/sports/mbkb/2017-18/bios/towns_seth_z6ya
Robbie Feinberg,Jr,Adams,http://www.gocrimson.com/sports/mbkb/2017-18/bios/feinberg_robbie_b4x3
Reed Farley,Fr,,http://www.gocrimson.com/sports/mbkb/2017-18/bios/farley_reed_ar69
Robert Baker,So,Winthrop,http://www.gocrimson.com/sports/mbkb/2017-18/bios/baker_robert_zmh3
Henry Welsh,So,Eliot,http://www.gocrimson.com/sports/mbkb/2017-18/bios/welsh_henry_xarj
