name,year,house,link
David Ambler,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/ambler_david_8wpv
Eric Anderson,Senior,Leverett,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/anderson_eric_mgba
Travis Anderson,Senior,Leverett,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/anderson_travis_mzd2
William Anderson,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/anderson_william_uhar
James Clarke,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/clarke_james_fjte
Benjamin Cohen,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/cohen_benjamin_cge8
Liam Corrigan,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/corrigan_liam_eoyy
Andre Dempsey,Senior,Mather,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/dempsey_andre_an6z
Carter Dickinson,Junior,Leverett,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/dickinson_carter_0sgc
Arthur Doyle,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/doyle_arthur_ebrz
Cole Durbin,Senior,Dunster,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/durbin_cole_dcag
Christopher Fenaroli,Junior,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/fenaroli_christopher_dgah
David Fleming,Junior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/fleming_david_mm0n
Dominic Glover,Senior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/glover_dominic_f10k
Sam Hardy,Senior,Eliot,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/hardy_sam_qz3u
Conor Harrity,Senior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/harrity_conor_2qew
Thomas Hlebowicz,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/hlebowicz_thomas_5g1g
Jack Kelley,Senior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/kelley_jack_9bic
Anthony Kenny,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/kenny_anthony_xczt
Jennifer Kunes,Junior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/kunes_jennifer_ojgl
Niels Laurberg,Senior,Dunster,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/laurberg_niels_hq02
Lars Lorch,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/lorch_lars_ys32
John Luby,Sophomore,,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/luby_john_k9ba
Henry Lynch,Sophomore,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/lynch_henry_vp2j
Samuel Meijer,Junior,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/meijer_samuel_irb9
Max Mezger,Sophomore,,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/mezger_max_go7r
Andrew Morley,Sophomore,Lowell,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/morley_andrew_mexj
Miles Neumann III,Sophomore,,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/neumann_iii_miles_ye8u
David Orner,Sophomore,Quincy,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/orner_david_41ui
Ellmore Patterson,Sophomore,,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/patterson_ellmore_kz3d
Nicholas Plaut,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/plaut_nicholas_wjzb
Pieter Quinton,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/quinton_pieter_zc8q
Ryan Rasmussen,Senior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/rasmussen_ryan_uvdp
Alexander Richards,Senior,Eliot,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/richards_alexander_09cr
John Richards,Sophomore,Adams,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/richards_john_v4bc
Jacob Russell,Junior,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/russell_jacob_19ro
Evan Simons,Sophomore,Eliot,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/simons_evan_yo45
Benjamin Strathmore,Senior,Eliot,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/strathmore_benjamin_plm4
Travis Taaffe,Senior,Pforzheimer,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/taaffe_travis_5hv0
Nicolas Yan,Junior,Winthrop,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/yan_nicolas_y7vs
Madeleine Zabriskie,Senior,Mather,http://www.gocrimson.com/sports/mcrew-hw/2017-18/bios/zabriskie_madeleine_gc1j
