name,year,house,link
Zach Altshuler,Sophomore,Kirkland,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/altshuler_zach_p8v3
Nicholas Barry,Sophomore,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/barry_nicholas_fkwv
Cayman Bearly-Malinowski,Senior,Dunster,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/bearly-malinowski_cayman_r0na
Noah Burhance,Sophomore,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/burhance_noah_1epv
Matty Cheng,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Cheng_Matty
Phillip Conrad,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Conrad_Phillip
Aidan Crawford,Sophomore,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/crawford_aidan_xvcr
Liam Daily,Senior,Currier,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/daily_liam_gjw9
Nate Dempsey,Sophomore,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/dempsey_nate_fys6
Samuel Detmer,Sophomore,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/detmer_samuel_gevs
Drake Deuel,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Deuel_Drake
Eryk Dobrushkin,Junior,Cabot,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/dobrushkin_eryk_jylo
Dillon Dunteman,Junior,Eliot,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/dunteman_dillon_loui
Andre Dupuis,Senior,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/dupuis_andre_55au
Wesley Fabyan,Senior,Lowell,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/fabyan_wesley_xtyj
Michael Genovesi,Sophomore,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/genovesi_michael_p7k1
David Gonzalez,Sophomore,Leverett,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/gonzalez_david_pogf
Oliver Hansen,Junior,Cabot,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/hansen_oliver_72nx
Sean Hayes,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Hayes_Sean
Andrew Hebert,Sophomore,Quincy,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/hebert_andrew_r8my
Tate Huffman,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Huffman_Tate
Christopher Jarrett,Junior,Quincy,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/jarrett_christopher_l7lj
Freddie Johnson,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Johnson_Freddie
Spencer Kaplan,Junior,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/kaplan_spencer_u2yy
Can Keles,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Keles_Can
Annina Kennedy-Yoon,Sophomore,Leverett,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Kennedy_Yoon_Annina
Nicholas Kochanek,Junior,Quincy,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/kochanek_nicholas_ddtq
Joshua Kuppersmith,Junior,Quincy,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/kuppersmith_joshua_mk6e
Catherine Li,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/li_catherine_hdx6
Rob Lowe,Sophomore,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/lowe_rob_7d0x
Reed McMurchy,Junior,Cabot,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/mcmurchy_reed_jzfq
Michael Medaugh,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Medaugh_Michael
Owen Niles,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Niles_Owen
Victor Olsen,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Olsen_Victor
Conlan Olson,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Olson_Conlan
Ryan Patrick,Senior,Dunster,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/patrick_ryan_k6n8
James Plaut,Sophomore,Mather,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/plaut_james_myfb
Robert Powell,Freshman,,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/Powell_Robert
Alex Raines,Sophomore,Winthrop,http://www.gocrimson.com/sports/mcrew-lw/2017-18/bios/raines_alex_xakk
