name,year,house,link
Schuyler Bailar,Junior,Pforzheimer,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/bailar_schuyler_p7kz
Levente Bathory,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Bathory_Levente
Jack Boyd,Senior,Adams,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/boyd_jack_o4uu
Daniel Chang,Sophomore,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/chang_daniel_5vre
Kevin Dai,Sophomore,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/dai_kevin_ribz
Alec DeCaprio,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/DeCaprio_Alec
Dean Farris,Sophomore,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/farris_dean_t3df
Austin Fields,Sophomore,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/fields_austin_vk1r
Kent Haeffner,Senior,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/haeffner_kent_1ltc
Logan Houck,Junior,Dunster,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/houck_logan_k04m
Ed Kim,Senior,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/kim_ed_2c5l
Alan Lam,Junior,Mather,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/lam_alan_w2kk
Sebastian Lutz,Junior,Mather,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/lutz_sebastian_2tg3
Raphael Marcoux,Sophomore,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/marcoux_raphael_vuox
Miles McAllister,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/McAllister_Miles
Shane McNamara,Senior,Adams,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/mcnamara_shane_sdc0
Luke Morgan-Scott,Senior,Adams,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/morgan-scott_luke_4wuk
Brennan Novak,Junior,Dunster,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/novak_brennan_vvc9
Paul O'Hara,Gr. Senior,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/o-hara_paul_42gw
Koya Osada,Senior,Adams,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/osada_koya_oo4c
David Pfeifer,Senior,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/pfeifer_david_3sr6
Corban Rawls,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Rawls_Corban
Mahlon Reihman,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Reihman_Mahlon
Bobby Ross,Senior,Adams,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/ross_bobby_b5gz
Zach Snyder,Sophomore,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/snyder_zach_ps3v
Gavin Springer,Junior,Dunster,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/springer_gavin_bd9v
Steven Tan,Senior,Quincy,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/tan_steven_0lx8
Daniel Tran,Junior,Mather,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/tran_daniel_su7i
Charles Vaughan,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Vaughan_Charles
Hal Watts,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Watts_Hal
Eric Whisenant,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Whisenant_Eric
Michael Zarian,Freshman,,http://www.gocrimson.com/sports/mswimdive/2017-18/bios/Zarian_Michael
