name,year,house,link
Eliot Burnes,Freshman,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Eliot_Burnes
Henry Burnes,Freshman,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Henry_Burnes
Tancredi Castellano Pucci,Sophomore,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Castellano_Pucci_Tancredi
Kevin Coakley,Senior,Kirkland,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Coakley_Kevin
Juan Pedro Crestanello,Sophomore,Leverett,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Crestanello_Juan_Pedro
Nicholas DiGiovanni,Junior,Quincy,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/DiGiovanni_Nicholas
Scott Fairbanks,Sophomore,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Fairbanks_Scott
Dylan Farrell,Senior,Kirkland,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Farrell_Dylan
Nicholas Karnovsky,Junior,Winthrop,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Karnovsky_Nicholas
Jonas Nelle,Freshman,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Jonas_Nelle
Andrew Puopolo,Junior,Quincy,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Puopolo_Andrew
Owen Schafer,Freshman,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Owen_Schafer
Nick Sertl,Senior,Adams,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Sertl_Nick
Jackson Wagner,Junior,Winthrop,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Wagner_Jackson
Renwick Wilson,Senior,,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Wilson_Renwick
Ben Zheng,Senior,Adams,http://www.gocrimson.com/sports/sailing/2017-18/bios/Mens/Zheng_Ben
