name,year,house,link
Nina Armstrong,Junior,Currier,http://www.gocrimson.com/sports/skiing/2017-18/bios/armstrong_nina_co1t
Dennis Bao,Junior,Mather,http://www.gocrimson.com/sports/skiing/2017-18/bios/bao_dennis_qwod
Courtney Clark,Sophomore,,http://www.gocrimson.com/sports/skiing/2017-18/bios/clark_courtney_k9tn
Charlotte Cole,Senior,Pforzheimer,http://www.gocrimson.com/sports/skiing/2017-18/bios/cole_charlotte_znws
Isabel Cole,Freshman,,http://www.gocrimson.com/sports/skiing/2017-18/bios/cole_isabel_m8vm
Allegra Coleman,Freshman,,http://www.gocrimson.com/sports/skiing/2017-18/bios/Coleman_Allegra
Clara Cousins,Sophomore,Cabot,http://www.gocrimson.com/sports/skiing/2017-18/bios/cousins_clara_qzbb
Sinead Danagher,Freshman,,http://www.gocrimson.com/sports/skiing/2017-18/bios/danagher_ula_lw1m
Robert Dorfman,Sophomore,Currier,http://www.gocrimson.com/sports/skiing/2017-18/bios/dorfman_robert_rqwn
Charlotte Dyvik Henke,Freshman,,http://www.gocrimson.com/sports/skiing/2017-18/bios/dyvik_henke_charlotte_9lph
Mackinley FitzPatrick,Sophomore,Leverett,http://www.gocrimson.com/sports/skiing/2017-18/bios/fitzpatrick_mackinley_5199
Connor Green,Senior,Leverett,http://www.gocrimson.com/sports/skiing/2017-18/bios/green_connor_noxm
Hannah Hardenbergh,Junior,,http://www.gocrimson.com/sports/skiing/2017-18/bios/hardenbergh_hannah_php6
Lars Hornburg,Sophomore,,http://www.gocrimson.com/sports/skiing/2017-18/bios/hornburg_lars_c63a
Nellie Ide,Freshman,,http://www.gocrimson.com/sports/skiing/2017-18/bios/frances_ide_nellie_j62w
Carter Kendig,Sophomore,Winthrop,http://www.gocrimson.com/sports/skiing/2017-18/bios/kendig_carter_obtr
Lily Koffman,Junior,Cabot,http://www.gocrimson.com/sports/skiing/2017-18/bios/koffman_lily_vvpp
Jacob Meyerson,Junior,McKinlock,http://www.gocrimson.com/sports/skiing/2017-18/bios/meyerson_jacob_tbfn
Christopher O'Brien,Freshman,,http://www.gocrimson.com/sports/skiing/2017-18/bios/o-brien_christopher_dc7s
William Rhatigan,Sophomore,Leverett,http://www.gocrimson.com/sports/skiing/2017-18/bios/rhatigan_william_hrr4
Haakon Sigurslid,Senior,Adams,http://www.gocrimson.com/sports/skiing/2017-18/bios/sigurslid_haakon_rspo
Dillon Smith,Sophomore,Adams,http://www.gocrimson.com/sports/skiing/2017-18/bios/smith_dillon_odlm
Kelly Steeves,Senior,Eliot,http://www.gocrimson.com/sports/skiing/2017-18/bios/steeves_kelly_941j
Tegan Thorley,Sophomore,Eliot,http://www.gocrimson.com/sports/skiing/2017-18/bios/thorley_tegan_741t
Pieter Weemaes,Senior,Leverett,http://www.gocrimson.com/sports/skiing/2017-18/bios/weemaes_pieter_591m
