name,year,house,link
Nani Redford,Junior,Kirkland,http://www.gocrimson.com/sports/wbkb/2017-18/bios/redford_nani_ah4m
Kelsey Bogdan,Junior,Winthrop,http://www.gocrimson.com/sports/wbkb/2017-18/bios/bogdan_kelsey_orzz
Katie Benzan,Sophomore,Eliot,http://www.gocrimson.com/sports/wbkb/2017-18/bios/benzan_katie_9gju
Matilda Salen,Freshman,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/salen_matilda_yq3k
Kirby Porter,Senior,Cabot,http://www.gocrimson.com/sports/wbkb/2017-18/bios/porter_kirby_idmx
Rachel Levy,Freshman,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/levy_rachel_rxds
Jeannie Boehm,Sophomore,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/boehm_jeannie_2ymx
Mackenzie Barta,Sophomore,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/barta_mackenzie_bk46
Madeline Raster,Junior,Winthrop,http://www.gocrimson.com/sports/wbkb/2017-18/bios/raster_madeline_2rsq
Grace Tworek,Freshman,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/tworek_grace_z4z9
Maddie Stuhlreyer,Freshman,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/stuhlreyer_maddie_4mr1
Jadyn Bush,Freshman,,http://www.gocrimson.com/sports/wbkb/2017-18/bios/bush_jadyn_fl3z
Sydney Skinner,Junior,Eliot,http://www.gocrimson.com/sports/wbkb/2017-18/bios/skinner_sydney_evb9
Taylor Rooks,Senior,Quincy,http://www.gocrimson.com/sports/wbkb/2017-18/bios/rooks_taylor_fyi0
