name,year,house,link
Eloise Ackman,Sophomore,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/ackman_eloise_uar7
Lauren Anderson,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Anderson_Lauren
Elizabeth Ashford,Junior,Quincy,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/ashford_elizabeth_ltuk
Hope Cessford,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Cessford_Hope
Tatiana Chermayeff,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Chermayeff_Tatiana
Lisa Chille,Sophomore,Currier,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/chille_lisa_vq9o
Martha Collins,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Collins_Martha
Paige Coolidge,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Coolidge_Paige
Mackenzi Curtin,Junior,Adams,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/curtin_mackenzi_3xls
Sofia Donnecke,Senior,Eliot,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/donnecke_sofia_cpm8
Clara Duffy,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Duffy_Clara
Stephanie Eble,Junior,Kirkland,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/eble_stephanie_u0pk
Elizabeth Elmgren,Senior,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/elmgren_elizabeth_t25x
Grace Eysenbach,Sophomore,Eliot,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/eysenbach_grace_1ss1
Marina Felix,Junior,Thayer,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/felix_marina_zf71
Kaitlyn Felsheim,Senior,Eliot,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/felsheim_kaitlyn_6eu3
Desi Goodwin,Sophomore,Quincy,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/goodwin_desi_mtzm
Lucy Hamilton,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Hamilton_Lucy
Erica Holmes,Junior,Dunster,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/holmes_erica_trte
Anna Jaysing,Junior,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/jaysing_anna_bnlx
Catherine Joyce,Junior,Dunster,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/joyce_catherine_44lt
Eliza Kallfelz,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Kallfelz_Eliza
Elizabeth Kemp,Junior,Adams,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/kemp_elizabeth_a9u5
Kate Laumann-Wallace,Freshman,,http://www.gocrimson.com/sports/wcrew-hw/2017-18/bios/Laumann-Wallace_Kate
