name,year,house,link
Meredith Brown,Sr,Quincy,http://www.gocrimson.com/sports/wlax/2017-18/bios/brown_meredith_3ox9
Madison Conklin,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/conklin_madison_8gjw
Nicole Baiocco,Jr,Winthrop,http://www.gocrimson.com/sports/wlax/2017-18/bios/baiocco_nicole_ump6
Camerin Rawson,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/rawson_alicia_nvq5
Celia Concannon,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/concannon_celia_429n
Colleen Burke,Jr,Winthrop,http://www.gocrimson.com/sports/wlax/2017-18/bios/burke_colleen_zlle
Sara Cami,So,Adams,http://www.gocrimson.com/sports/wlax/2017-18/bios/cami_sara_klx1
Tate Green,So,,http://www.gocrimson.com/sports/wlax/2017-18/bios/green_tate_9zcz
Julia Glynn,Sr,Mather,http://www.gocrimson.com/sports/wlax/2017-18/bios/glynn_julia_xots
Olivia Gundrum,Sr,Quincy,http://www.gocrimson.com/sports/wlax/2017-18/bios/gundrum_olivia_95h9
Tessa Queri,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/queri_tessa_gm57
Robyn White,Sr,Dunster,http://www.gocrimson.com/sports/wlax/2017-18/bios/white_robyn_xynl
Eliza Guild,Sr,Mather,http://www.gocrimson.com/sports/wlax/2017-18/bios/guild_eliza_m2o7
Keeley MacAfee,Jr,Leverett,http://www.gocrimson.com/sports/wlax/2017-18/bios/macafee_keeley_8iko
Marley Jenkins,Jr,Currier,http://www.gocrimson.com/sports/wlax/2017-18/bios/jenkins_marley_imsj
Julia Lennon,Sr,Mather,http://www.gocrimson.com/sports/wlax/2017-18/bios/lennon_julia_dfu5
Kristin Burnetta,So,Adams,http://www.gocrimson.com/sports/wlax/2017-18/bios/burnetta_kristin_i52x
Hannah Keating,So,Adams,http://www.gocrimson.com/sports/wlax/2017-18/bios/keating_hannah_uw75
Bridget Flynn,So,Adams,http://www.gocrimson.com/sports/wlax/2017-18/bios/flynn_bridget_wr6v
Gabrielle Fernandopulle,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/fernandopulle_gabrielle_ccjq
Lauren Ford,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/ford_lauren_y6li
Jackie Cuccurullo,So,Kirkland,http://www.gocrimson.com/sports/wlax/2017-18/bios/cuccurullo_jackie_we6r
Nekele McCall,Sr,Mather,http://www.gocrimson.com/sports/wlax/2017-18/bios/mccall_nekele_sbkm
Caroline Garrity,Jr,Winthrop,http://www.gocrimson.com/sports/wlax/2017-18/bios/garrity_caroline_ang6
Julia DiNovi,So,,http://www.gocrimson.com/sports/wlax/2017-18/bios/dinovi_julia_jrsp
Grace Rotondo,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/rotondo_grace_6db7
Katie Muldoon,So,,http://www.gocrimson.com/sports/wlax/2017-18/bios/muldoon_katie_aq3n
Claire Rushin,Jr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/rushin_claire_lnqg
Alison Crump,Fr,,http://www.gocrimson.com/sports/wlax/2017-18/bios/crump_alison_pb44
