name,year,house,link
Kat Hess,So,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/hess_kat_a36l
Caroline Ashford,Sr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/ashford_caroline_raho
Danielle Etzel,Jr,Mather,http://www.gocrimson.com/sports/wsoc/2017-18/bios/etzel_danielle_o64s
Cammie Dopke,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/dopke_cammie_f4c5
Alli Wiggins,Jr,Kirkland,http://www.gocrimson.com/sports/wsoc/2017-18/bios/wiggins_alli_ayml
Linda Liedel,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/liedel_linda_brcz
Sammy Murrell,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/murrell_sammy_3vy1
Maria DiMartinis,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/dimartinis_maria_ykql
Meg Tveit,So,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/tveit_meg_dkn1
Lauren Raimondo,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/raimondo_lauren_z81w
Marie Becker,Sr,Leverett,http://www.gocrimson.com/sports/wsoc/2017-18/bios/becker_marie_6z7p
Murphy Agnew,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/agnew_murphy_wci3
Leah Mohammadi,Jr,Kirkland,http://www.gocrimson.com/sports/wsoc/2017-18/bios/mohammadi_leah_9mzf
Dani Stollar,Sr,Dunster,http://www.gocrimson.com/sports/wsoc/2017-18/bios/stollar_dani_fnj9
Zoe Aigberomwan-Isibor,So,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/aigberomwan-isibor_zoe_8tl2
Zayne Matulis,Jr,Winthrop,http://www.gocrimson.com/sports/wsoc/2017-18/bios/matulis_zayne_v0gw
Caroline Chagares,Sr,Eliot,http://www.gocrimson.com/sports/wsoc/2017-18/bios/chagares_caroline_w4gt
Niki Young,Jr,Kirkland,http://www.gocrimson.com/sports/wsoc/2017-18/bios/young_niki_7u24
Kimaya Cole,So,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/cole_kimaya_4780
Maggie Basta,So,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/basta_maggie_odvs
Candy Janachowski,Sr,Eliot,http://www.gocrimson.com/sports/wsoc/2017-18/bios/janachowski_candy_5equ
Lauren Spohn,So,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/spohn_lauren_lu84
Chamberlain Mathis,Fr,,http://www.gocrimson.com/sports/wsoc/2017-18/bios/mathis_chamberlain_5eqk
