name,year,house,link
Hannah Allchurch,Senior,Dunster,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/allchurch_hannah_73bc
Holly Christensen,Junior,Kirkland,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/christensen_holly_w65a
Chloe Close,Sophomore,Lowell,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/close_chloe_xa84
Mei Lynn Colby,Sophomore,Cabot,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/colby_mei_lynn_rh83
Mikaela Dahlke,Sophomore,Quincy,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/dahlke_mikaela_yb0z
Geordie Enoch,Senior,Winthrop,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/enoch_geordie_r3mo
Katie Evans,Senior,Leverett,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/evans_katie_0a9i
Megan Galbreath,Sophomore,Adams,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/galbreath_megan_k166
Matti Harrison,Sophomore,Quincy,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/harrison_matti_uxxe
Elizabeth Holmes,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Holmes_Elizabeth
Regan Kology,Senior,Winthrop,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/kology_regan_g4mg
Jing Leung,Senior,Quincy,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/leung_jing_c26s
Jerrica Li,Sophomore,Cabot,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/li_jerrica_2143
Kristina Li,Senior,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/li_kristina_vxtc
Daniela Liera,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Liera_Daniela
Alisha Mah,Senior,Quincy,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/mah_alisha_4sqc
Katherine Miclau,Sophomore,Lowell,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/miclau_katherine_5dn3
Georgina Milne,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Milne_Georgina
Michelle Owens,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Owens_Michelle
Cassandra Pasadyn,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Pasadyn_Cassandra
Annabelle Paterson,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Paterson_Annabelle
Jayne Pilachowski,Senior,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/pilachowski_jayne_3ped
Claire Pinson,Junior,Winthrop,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/pinson_claire_t4rt
Meagan Popp,Junior,Winthrop,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/popp_meagan_z906
Kennidy Quist,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Quist_Kennidy
Katie Russ,Junior,Dunster,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/russ_katie_daen
Allie Russell,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Russell_Allie
Gabby Sims,Senior,Dunster,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/sims_gabby_xgvk
Amy Song,Sophomore,Cabot,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/song_amy_a4fy
Sylvie Stoloff,Junior,Pforzheimer,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/stoloff_sylvie_2fbz
Mikaela Thompson,Junior,Dunster,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/thompson_mikaela_f3jl
Brittany Usinger,Junior,Dunster,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/usinger_brittany_p8wq
Aaki Vora,Sophomore,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/vora_aaki_f0y1
Ingrid Wall,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Wall_Ingrid
Sonia Wang,Junior,Pforzheimer,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/wang_sonia_cqyc
Jaycee Yegher,Freshman,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/Yegher_Jaycee
Valerie Yoshimura,Junior,,http://www.gocrimson.com/sports/wswimdive/2017-18/bios/yoshimura_valerie_pnvj
