name,year,house,link
Isabelle Tashima,Sophomore,Dunster,http://www.gocrimson.com/sports/wvball/2017-18/bios/tashima_isabelle_gsut
Erin McCarthy,Sophomore,Cabot,http://www.gocrimson.com/sports/wvball/2017-18/bios/mccarthy_erin_m63k
Paige Kebe,Senior,Adams,http://www.gocrimson.com/sports/wvball/2017-18/bios/kebe_paige_r898
Mindie Mabry,Freshman,,http://www.gocrimson.com/sports/wvball/2017-18/bios/mabry_mindie_1vfj
Heather Sigurdson,Senior,,http://www.gocrimson.com/sports/wvball/2017-18/bios/sigurdson_heather_w5q5
Anna Uhr,Junior,Cabot,http://www.gocrimson.com/sports/wvball/2017-18/bios/uhr_anna_bl17
Maclaine Fields,Sophomore,Kirkland,http://www.gocrimson.com/sports/wvball/2017-18/bios/fields_maclaine_mp9p
Sope Adeleye,Sophomore,,http://www.gocrimson.com/sports/wvball/2017-18/bios/adeleye_sope_icw0
Brooke Istvan,Junior,Winthrop,http://www.gocrimson.com/sports/wvball/2017-18/bios/istvan_brooke_jwcq
Sydney Vach,Freshman,,http://www.gocrimson.com/sports/wvball/2017-18/bios/vach_sydney_etx9
Jocelyn Meyer,Junior,Winthrop,http://www.gocrimson.com/sports/wvball/2017-18/bios/meyer_jocelyn_89dt
Grace Roberts Burbank,Sophomore,Dunster,http://www.gocrimson.com/sports/wvball/2017-18/bios/roberts_burbank_grace_3adp
Sandra Zeng,Freshman,,http://www.gocrimson.com/sports/wvball/2017-18/bios/zeng_sandra_y23q
Christina Cornelius,Junior,Cabot,http://www.gocrimson.com/sports/wvball/2017-18/bios/cornelius_christina_jwa1
Evelyn Gray,Freshman,,http://www.gocrimson.com/sports/wvball/2017-18/bios/gray_evelyn_fyss
Michaela Dews,Senior,Cabot,http://www.gocrimson.com/sports/wvball/2017-18/bios/dews_michaela_xadp
