name,year,house,link
Michael Alber,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/alber_michael
Jonas Aranda,Senior,Quincy,http://www.gocrimson.com/sports/track/2016-17/bios/Aranda_Jonas
Will Battershill,Sophomore,Currier,http://www.gocrimson.com/sports/xc/2017-18/bios/battershill_will_a8qc
Louis Colson,Senior,Quincy,http://www.gocrimson.com/sports/xc/2017-18/bios/colson_louis_bkqj
Charlie Davis,Sophomore,,http://www.gocrimson.com/sports/track/2016-17/bios/Davis_Charlie
Blake Evertsen,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/eversten_blake
John Fish,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/fish_john
Liam Hackett,Junior,Cabot,http://www.gocrimson.com/sports/track/2016-17/bios/Hackett_Liam
Robert Hope,Junior,Dunster,http://www.gocrimson.com/sports/xc/2017-18/bios/hope_robert_m0xy
Ben Huffman,Senior,Kirkland,http://www.gocrimson.com/sports/xc/2017-18/bios/huffman_ben_w7pz
Mike Kolor,Sophomore,,http://www.gocrimson.com/sports/track/2016-17/bios/Kolor_Mike
Kaeo Kruse,Sophomore,Currier,http://www.gocrimson.com/sports/xc/2017-18/bios/kruse_kaeo_ymp1
Nicholas Linder,Junior,Dunster,http://www.gocrimson.com/sports/xc/2017-18/bios/linder_nicholas_xznw
Zachary Manickas-Hill,Sophomore,,http://www.gocrimson.com/sports/xc/2017-18/bios/manickas-hill_zachary_t2vv
Myles Marshall,Junior,Kirkland,http://www.gocrimson.com/sports/track/2016-17/bios/Marshall_Myles
Daniel McCutchen,Freshman,,http://www.gocrimson.com/sports/xc/2017-18/bios/McCutchen_Daniel
Hugo Milner,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/milner_hugo
Gabe Montague,Senior,Quincy,http://www.gocrimson.com/sports/xc/2017-18/bios/montague_gabe_t5v3
Murimi Nyamu,Sophomore,,http://www.gocrimson.com/sports/xc/2017-18/bios/nyamu_murimi_e15d
Samuel Oh,Junior,Dunster,http://www.gocrimson.com/sports/xc/2017-18/bios/oh_samuel_dvhl
Matthew Pereira,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/pereira_matthew
Collin Price,Junior,Eliot,http://www.gocrimson.com/sports/xc/2017-18/bios/price_collin_l9ie
Connor Schoen,Freshman,,http://www.gocrimson.com/sports/xc/2017-18/bios/Schoen_Connor
Tyler Spear,Senior,Kirkland,http://www.gocrimson.com/sports/track/2016-17/bios/Spear_Tyler
Ryan Thrush,Freshman,,http://www.gocrimson.com/sports/track/2017-18/bios/thrush_ryan
Kieran Tuntivate,Junior,Dunster,http://www.gocrimson.com/sports/track/2016-17/bios/Tuntivate_Kieran
